"","x"
"268",54.2198075270686
"269",48.7609728433069
"270",50.5738062202821
"271",50.6850591337806
"272",47.9880222346397
"273",47.3720252546589
"274",48.4632057647713
"275",44.8174113301242
"276",50.5149508372648
"277",50.0755724506064
"278",47.9996322086007
"279",48.1346080856874
"280",51.6225370502506
"281",51.5955346884154
"282",55.570578985368
"283",47.5926925798069
"284",52.1678699266296
"285",50.5487784262232
"286",52.6311314712059
"287",55.4761307849826
"288",49.7108622202254
"289",50.7574697676997
"290",49.3838482702462
"291",44.8582890824317
"292",46.2929827472833
"293",48.8236681689638
"294",56.2168268183571
"295",45.6204897988874
"296",48.8994166383575
"297",50.1865056301276
"298",48.2731202716928
"299",54.9180356739434
"300",48.4230688260347
"301",44.4228373553159
"302",48.8838378389726
"303",50.6317665316903
"304",50.5177895912598
"305",53.5623443010073
"306",50.6956855814679
"307",48.3298048388491
"308",52.4241537531439
"309",51.8946358811108
"310",48.7602961700195
"311",50.250144022864
"312",50.3805257999714
"313",47.4947222164702
"314",45.7012334446794
"315",52.6070190041267
"316",50.534625870461
"317",52.6103730119224
"318",40.8872083852385
"319",53.6813709504997
"320",52.5538351183664
"321",49.6705169230421
"322",50.2315458938463
"323",54.1732007203972
"324",47.4791640199971
"325",47.1867931552681
"326",50.467354634497
"327",50.114142722999
"328",53.3141720897062
"329",46.7538016608311
"330",51.3296124738129
"331",48.0037673886949
"332",46.7824283061196
"333",55.3037655649668
"334",49.3875217497914
"335",49.7276439237942
"336",48.2757601521789
"337",46.8479748384059
"338",51.1805272067933
"339",45.6613548657196
"340",52.7813805405269
"341",48.9671417157698
"342",53.4612877643543
"343",50.5133956656613
"344",53.1725586393939
"345",58.5377993368583
"346",53.9416000976236
"347",48.7660716277449
"348",49.2758419353255
"349",44.6269499121929
"350",47.4817694015131
"351",49.7052167396605
"352",41.4411959440838
"353",51.3204607087643
"354",48.0952699767177
"355",49.9159881789075
"356",48.2079595931688
"357",50.8508908211839
"358",50.517844368126
"359",52.6531625028849
"360",55.0014511924189
"361",46.6395565624869
"362",49.7761845422825
"363",52.1900142205546
"364",48.9115755675775
"365",47.1368665877176
"366",47.6380224625536
"367",49.3286312723954
"368",51.387747311571
"369",48.1466600262089
"370",53.1116442910237
"371",55.2524877582001
"372",50.4327239942806
"373",47.5864613038556
"374",49.0537214301157
"375",52.5612044841436
"376",50.4577778527734
"377",45.9364963809639
"378",50.7575567952697
"379",48.7431895343768
"380",49.6213182394898
"381",47.9188708651334
"382",51.3040095267916
"383",54.1062111131335
"384",49.4615087756767
"385",48.5411290481075
"386",52.1159577658627
"387",47.5577513777271
"388",51.1248288365479
"389",48.8231526317983
"390",48.7539029485898
"391",47.500264242335
"392",50.6414484244821
"393",54.037727917728
"394",45.6287272126631
"395",48.0765696896664
"396",47.6982278217314
"397",44.0870894851756
"398",50.3020089813483
"399",49.4524120492347
"400",49.8866173271017
"401",47.4053204267772
"402",54.9708593555763
"403",49.7766312289863
"404",49.8756923987228
"405",51.5588965948625
"406",48.7443320444241
"407",49.0697899589065
"408",54.3158861464655
"409",50.1744954279967
"410",46.5782494849108
"411",49.3733370200236
"412",49.8541011157809
"413",49.1618315077038
"414",46.6299165297112
"415",49.2929802744735
"416",53.3454839330273
"417",50.2685521631107
"418",51.2795140122075
"419",53.0172676015311
"420",50.0418733979786
"421",53.3130294603597
"422",50.8933506125212
"423",49.1584277038877
"424",50.5635826904029
"425",48.6341108966719
"426",49.0345587660328
"427",46.8369183315948
"428",46.3336682032974
"429",45.9403351823271
"430",56.3017398351426
"431",54.859287669046
"432",48.13836024216
"433",45.4141829058494
"434",50.2140452371024
"435",49.759961616762
"436",49.8316117869516
"437",50.9561540789618
"438",47.2969977985907
"439",49.9454370966038
"440",50.1205882428292
"441",50.1278230100697
"442",51.9856871483717
"443",47.1402518286594
"444",50.2959905358149
"445",52.0221480259065
"446",52.9109235839963
"447",50.59820485633
"448",46.5594346850262
"449",47.5847531789634
"450",53.6995130973356
"451",51.9900175755986
"452",48.9756627007786
"453",50.9147585780765
"454",50.4282047643465
"455",55.2074337626012
"456",47.2758590442386
"457",48.684717756209
"458",50.8315135266546
"459",50.326861834278
"460",52.5780490318673
"461",52.7493705957962
"462",50.5755280195443
"463",48.6242777842929
"464",48.3363255901276
"465",55.0643595315397
"466",50.1209732396678
"467",52.0141663565493
"468",51.9239391174294
"469",48.9109837300716
"470",48.9404030365995
"471",47.8788323911283
"472",51.3089585108554
"473",50.0702335325066
"474",43.9535202458744
"475",49.1217991513625
"476",48.2661305886123
"477",50.8387262465741
"478",47.8101691609949
"479",41.8375771836297
"480",47.5232837055388
"481",49.371819616437
"482",51.9162831433134
"483",49.1775911822091
"484",49.9768501192582
"485",51.2904268654555
"486",46.9943805905375
"487",51.3983110181095
"488",48.9787174910362
"489",51.3791290923901
"490",49.4598965315179
"491",50.9452313405464
"492",49.9221607492778
"493",52.5645356201485
"494",45.8123573724259
"495",47.6533629078669
"496",51.5829157141056
"497",53.67492648198
"498",50.8221308780687
"499",51.2484127206984
"500",49.7381089593029
